iso;PFUDB
ABW;LAMother
AFG;ASIother
AGO;MEAother
ALB;REFother
ARE;MEAother
ARG;LAMother
ARM;Former Soviet Union
ATG;LAMother
AUS;Australia
AUT;O90other
AZE;Former Soviet Union
BDI;MEAother
BEL;O90other
BEN;MEAother
BES;LAMother
BFA;MEAother
BGD;ASIother
BGR;REFother
BHR;MEAother
BHS;LAMother
BIH;REFother
BLR;Former Soviet Union
BLZ;LAMother
BMU;LAMother
BOL;LAMother
BRA;Brazil
BRB;LAMother
BRN;ASIother
BTN;ASIother
BWA;MEAother
CAF;MEAother
CAN;Canada
CHE;O90other
CHL;LAMother
CHN;China
CIV;MEAother
CMR;MEAother
COD;MEAother
COG;MEAother
COK;ASIother
COL;LAMother
COM;MEAother
CPV;MEAother
CRI;LAMother
CUB;LAMother
CUW;LAMother
CYM;LAMother
CYP;O90other
CZE;REFother
DEU;Germany
DJI;MEAother
DMA;LAMother
DNK;O90other
DOM;LAMother
DZA;MEAother
ECU;LAMother
EGY;MEAother
ERI;MEAother
ESH;MEAother
ESP;O90other
EST;Former Soviet Union
ETH;MEAother
FIN;O90other
FJI;ASIother
FLK;LAMother
FRA;France
GAB;MEAother
GBR;United Kingdom
GEO;Former Soviet Union
GHA;MEAother
GIB;O90other
GIN;MEAother
GLP;LAMother
GMB;MEAother
GNB;MEAother
GNQ;MEAother
GRC;O90other
GRD;LAMother
GTM;LAMother
GUF;LAMother
GUY;LAMother
HKG;China
HND;LAMother
HRV;REFother
HTI;LAMother
HUN;REFother
IDN;ASIother
IND;India
IRL;O90other
IRN;MEAother
IRQ;MEAother
ISL;O90other
ISR;MEAother
ITA;Italy
JAM;LAMother
JOR;MEAother
JPN;Japan
KAZ;Former Soviet Union
KEN;MEAother
KGZ;Former Soviet Union
KHM;ASIother
KIR;ASIother
KNA;LAMother
KOR;ASIother
KWT;MEAother
LAO;ASIother
LBN;MEAother
LBR;MEAother
LBY;MEAother
LCA;LAMother
LKA;ASIother
LSO;MEAother
LTU;Former Soviet Union
LUX;O90other
LVA;Former Soviet Union
MAC;ASIother
MAR;MEAother
MDA;Former Soviet Union
MDG;MEAother
MDV;ASIother
MEX;LAMother
MKD;REFother
MLI;MEAother
MLT;O90other
MMR;ASIother
MNE;REFother
MNG;ASIother
MOZ;MEAother
MRT;MEAother
MSR;LAMother
MTQ;LAMother
MWI;MEAother
MYS;ASIother
NAM;MEAother
NCL;ASIother
NER;MEAother
NGA;Nigeria
NIC;LAMother
NLD;O90other
NOR;O90other
NPL;ASIother
NZL;O90other
OMN;MEAother
PAK;ASIother
PAN;LAMother
PER;LAMother
PHL;ASIother
PLW;ASIother
PNG;ASIother
POL;Poland
PRI;LAMother
PRK;ASIother
PRT;O90other
PRY;LAMother
PYF;ASIother
QAT;MEAother
REU;MEAother
ROU;REFother
RUS;Former Soviet Union
RWA;MEAother
SAU;MEAother
SDN;MEAother
SEN;MEAother
SGP;ASIother
SLB;ASIother
SLE;MEAother
SLV;LAMother
SOM;MEAother
SPM;LAMother
SRB;REFother
STP;MEAother
SUR;LAMother
SVK;REFother
SVN;REFother
SWE;O90other
SWZ;MEAother
SXM;LAMother
SYC;MEAother
SYR;MEAother
TCA;LAMother
TCD;MEAother
TGO;MEAother
THA;ASIother
TJK;Former Soviet Union
TKM;Former Soviet Union
TLS;ASIother
TON;ASIother
TTO;LAMother
TUN;MEAother
TUR;O90other
TWN;ASIother
TZA;MEAother
UGA;MEAother
UKR;Former Soviet Union
URY;LAMother
USA;United States
UZB;Former Soviet Union
VCT;LAMother
VEN;LAMother
VGB;LAMother
VNM;ASIother
VUT;ASIother
WSM;ASIother
YEM;MEAother
ZAF;South Africa
ZMB;MEAother
ZWE;MEAother
